chapter,verse,source_ranges,mirror_ranges,local_records,source_sha
5,25,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,26,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,27,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,28,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,29,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,30,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,31,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,32,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,33,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,34,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,35,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,36,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,37,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,38,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,39,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,40,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,41,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,42,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,43,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,44,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,45,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,46,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,47,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,48,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,49,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,50,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,51,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
5,52,1,1,1,e1bb44d6d20ea8ba80e4099fe2762ec8b7985162
6,1,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,2,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,3,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,4,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,5,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,6,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,7,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,8,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,9,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,10,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,11,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,12,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,13,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,14,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,15,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,16,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,17,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,18,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,19,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,20,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,21,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,22,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,23,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,24,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,25,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,26,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,27,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,28,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,29,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,30,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,31,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,32,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,33,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,34,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,35,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,36,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,37,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,38,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,39,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,40,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,41,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,42,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,43,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,44,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,45,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,46,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,47,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,48,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,49,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
6,50,1,1,1,a6af2d0e04197cae8ce498d751aa95614e61a119
7,1,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,2,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,3,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,4,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,5,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,6,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,7,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,8,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,9,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,10,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,11,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,12,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,13,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,14,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,15,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,16,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,17,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,18,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,19,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,20,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,21,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,22,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,23,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,24,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,25,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,26,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,27,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,28,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,29,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,30,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,31,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,32,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,33,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,34,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,35,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,36,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,37,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,38,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,39,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,40,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,41,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,42,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,43,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
7,44,1,1,1,f9a1c48799613f7d500dd36166e43db450a931f6
